Accession,GenBank_RefSeq,Assembly,SRA_Accession,BioSample,BioProject,Organism_Name,Species,Genus,Family,Genotype,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date,Release_Date,Molecule_type,Month_Year
PV287617.1,GenBank,GCA_048583815.1,,,PRJNA998884,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19724490,1,"Influenza A virus (A/Texas/ISC-1243/2025(H1N1)) segment 1 polymerase PB2 (PB2) gene, complete cds",2316,partial,USA: Texas,USA,TX,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, Influenza Division",USA,,2025-01-16,2025-03-14,ssRNA(-),01.2025
PV287618.1,GenBank,GCA_048583815.1,,,PRJNA998884,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19724490,2,"Influenza A virus (A/Texas/ISC-1243/2025(H1N1)) segment 2 polymerase PB1 (PB1) gene, complete cds; and nonfunctional PB1-F2 protein (PB1-F2) gene, complete sequence",2316,partial,USA: Texas,USA,TX,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, Influenza Division",USA,,2025-01-16,2025-03-14,ssRNA(-),01.2025
PV287619.1,GenBank,GCA_048583815.1,,,PRJNA998884,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19724490,3,"Influenza A virus (A/Texas/ISC-1243/2025(H1N1)) segment 3 polymerase PA (PA) gene, complete cds; and nonfunctional PA-X protein (PA-X) gene, complete sequence",2208,partial,USA: Texas,USA,TX,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, Influenza Division",USA,,2025-01-16,2025-03-14,ssRNA(-),01.2025
PV287620.1,GenBank,GCA_048583815.1,,,PRJNA998884,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19724490,4,"Influenza A virus (A/Texas/ISC-1243/2025(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds",1752,partial,USA: Texas,USA,TX,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, Influenza Division",USA,,2025-01-16,2025-03-14,ssRNA(-),01.2025
PV287621.1,GenBank,GCA_048583815.1,,,PRJNA998884,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19724490,5,"Influenza A virus (A/Texas/ISC-1243/2025(H1N1)) segment 5 nucleocapsid protein (NP) gene, complete cds",1540,partial,USA: Texas,USA,TX,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, Influenza Division",USA,,2025-01-16,2025-03-14,ssRNA(-),01.2025
PV287622.1,GenBank,GCA_048583815.1,,,PRJNA998884,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19724490,6,"Influenza A virus (A/Texas/ISC-1243/2025(H1N1)) segment 6 neuraminidase (NA) gene, complete cds",1433,partial,USA: Texas,USA,TX,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, Influenza Division",USA,,2025-01-16,2025-03-14,ssRNA(-),01.2025
PV287623.1,GenBank,GCA_048583815.1,,,PRJNA998884,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19724490,7,"Influenza A virus (A/Texas/ISC-1243/2025(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1002,partial,USA: Texas,USA,TX,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, Influenza Division",USA,,2025-01-16,2025-03-14,ssRNA(-),01.2025
PV287624.1,GenBank,GCA_048583815.1,,,PRJNA998884,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19724490,8,"Influenza A virus (A/Texas/ISC-1243/2025(H1N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds",865,partial,USA: Texas,USA,TX,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, Influenza Division",USA,,2025-01-16,2025-03-14,ssRNA(-),01.2025
PV200725.1,GenBank,GCA_048280475.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-15156,4,"Influenza A virus (A/Texas/USAFSAM-15156/2025(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds",1701,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-01-22,2025-02-28,ssRNA(-),01.2025
PV200726.1,GenBank,GCA_048280475.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-15156,7,"Influenza A virus (A/Texas/USAFSAM-15156/2025(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",982,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-01-22,2025-02-28,ssRNA(-),01.2025
PV200727.1,GenBank,GCA_048280475.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-15156,6,"Influenza A virus (A/Texas/USAFSAM-15156/2025(H1N1)) segment 6 neuraminidase (NA) gene, complete cds",1410,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-01-22,2025-02-28,ssRNA(-),01.2025
PV200728.1,GenBank,GCA_048280475.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-15156,5,"Influenza A virus (A/Texas/USAFSAM-15156/2025(H1N1)) segment 5 nucleocapsid protein (NP) gene, complete cds",1497,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-01-22,2025-02-28,ssRNA(-),01.2025
PV200729.1,GenBank,GCA_048280475.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-15156,8,"Influenza A virus (A/Texas/USAFSAM-15156/2025(H1N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds",838,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-01-22,2025-02-28,ssRNA(-),01.2025
PV200730.1,GenBank,GCA_048280475.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-15156,3,"Influenza A virus (A/Texas/USAFSAM-15156/2025(H1N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",2151,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-01-22,2025-02-28,ssRNA(-),01.2025
PV200731.1,GenBank,GCA_048280475.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-15156,2,"Influenza A virus (A/Texas/USAFSAM-15156/2025(H1N1)) segment 2 polymerase PB1 (PB1) gene, complete cds; and nonfunctional PB1-F2 protein (PB1-F2) gene, complete sequence",2274,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-01-22,2025-02-28,ssRNA(-),01.2025
PV200732.1,GenBank,GCA_048280475.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-15156,1,"Influenza A virus (A/Texas/USAFSAM-15156/2025(H1N1)) segment 1 polymerase PB2 (PB2) gene, complete cds",2280,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-01-22,2025-02-28,ssRNA(-),01.2025
PV040696.1,GenBank,GCA_047341755.1,,,PRJNA1019712,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,IVY-G43S30I4,1,"Influenza A virus (A/Texas/IVY-G43S30I4/2024(H1N1)) segment 1 polymerase PB2 (PB2) gene, complete cds",2280,partial,USA: Texas,USA,TX,Homo sapiens,,"Lauring,A.S., Papalambros,L.K.","Lauring Lab at University of Michigan, Department of Microbiology and Immunology",USA,,2024-04-30,2025-01-31,ssRNA(-),04.2024
PV040697.1,GenBank,GCA_047341755.1,,,PRJNA1019712,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,IVY-G43S30I4,7,"Influenza A virus (A/Texas/IVY-G43S30I4/2024(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",982,partial,USA: Texas,USA,TX,Homo sapiens,,"Lauring,A.S., Papalambros,L.K.","Lauring Lab at University of Michigan, Department of Microbiology and Immunology",USA,,2024-04-30,2025-01-31,ssRNA(-),04.2024
PV040698.1,GenBank,GCA_047341755.1,,,PRJNA1019712,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,IVY-G43S30I4,2,"Influenza A virus (A/Texas/IVY-G43S30I4/2024(H1N1)) segment 2 polymerase PB1 (PB1) gene, complete cds; and nonfunctional PB1-F2 protein (PB1-F2) gene, complete sequence",2274,partial,USA: Texas,USA,TX,Homo sapiens,,"Lauring,A.S., Papalambros,L.K.","Lauring Lab at University of Michigan, Department of Microbiology and Immunology",USA,,2024-04-30,2025-01-31,ssRNA(-),04.2024
PV040699.1,GenBank,GCA_047341755.1,,,PRJNA1019712,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,IVY-G43S30I4,3,"Influenza A virus (A/Texas/IVY-G43S30I4/2024(H1N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",2151,partial,USA: Texas,USA,TX,Homo sapiens,,"Lauring,A.S., Papalambros,L.K.","Lauring Lab at University of Michigan, Department of Microbiology and Immunology",USA,,2024-04-30,2025-01-31,ssRNA(-),04.2024
PV040700.1,GenBank,GCA_047341755.1,,,PRJNA1019712,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,IVY-G43S30I4,4,"Influenza A virus (A/Texas/IVY-G43S30I4/2024(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds",1701,partial,USA: Texas,USA,TX,Homo sapiens,,"Lauring,A.S., Papalambros,L.K.","Lauring Lab at University of Michigan, Department of Microbiology and Immunology",USA,,2024-04-30,2025-01-31,ssRNA(-),04.2024
PV040701.1,GenBank,GCA_047341755.1,,,PRJNA1019712,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,IVY-G43S30I4,8,"Influenza A virus (A/Texas/IVY-G43S30I4/2024(H1N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds",838,partial,USA: Texas,USA,TX,Homo sapiens,,"Lauring,A.S., Papalambros,L.K.","Lauring Lab at University of Michigan, Department of Microbiology and Immunology",USA,,2024-04-30,2025-01-31,ssRNA(-),04.2024
PV040702.1,GenBank,GCA_047341755.1,,,PRJNA1019712,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,IVY-G43S30I4,6,"Influenza A virus (A/Texas/IVY-G43S30I4/2024(H1N1)) segment 6 neuraminidase (NA) gene, complete cds",1410,partial,USA: Texas,USA,TX,Homo sapiens,,"Lauring,A.S., Papalambros,L.K.","Lauring Lab at University of Michigan, Department of Microbiology and Immunology",USA,,2024-04-30,2025-01-31,ssRNA(-),04.2024
PV040703.1,GenBank,GCA_047341755.1,,,PRJNA1019712,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,IVY-G43S30I4,5,"Influenza A virus (A/Texas/IVY-G43S30I4/2024(H1N1)) segment 5 nucleocapsid protein (NP) gene, complete cds",1497,partial,USA: Texas,USA,TX,Homo sapiens,,"Lauring,A.S., Papalambros,L.K.","Lauring Lab at University of Michigan, Department of Microbiology and Immunology",USA,,2024-04-30,2025-01-31,ssRNA(-),04.2024
PQ599500.1,GenBank,GCA_046430925.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19448225,1,"Influenza A virus (A/Texas/221/2024(H1N1)) segment 1 polymerase PB2 (PB2) gene, complete cds",2316,partial,USA: Texas,USA,TX,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,,2024-07-23,2024-11-15,ssRNA(-),07.2024
PQ599501.1,GenBank,GCA_046430925.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19448225,2,"Influenza A virus (A/Texas/221/2024(H1N1)) segment 2 polymerase PB1 (PB1) gene, complete cds; and nonfunctional PB1-F2 protein (PB1-F2) gene, complete sequence",2316,partial,USA: Texas,USA,TX,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,,2024-07-23,2024-11-15,ssRNA(-),07.2024
PQ599502.1,GenBank,GCA_046430925.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19448225,3,"Influenza A virus (A/Texas/221/2024(H1N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",2208,partial,USA: Texas,USA,TX,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,,2024-07-23,2024-11-15,ssRNA(-),07.2024
PQ599503.1,GenBank,GCA_046430925.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19448225,4,"Influenza A virus (A/Texas/221/2024(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds",1752,partial,USA: Texas,USA,TX,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,,2024-07-23,2024-11-15,ssRNA(-),07.2024
PQ599504.1,GenBank,GCA_046430925.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19448225,5,"Influenza A virus (A/Texas/221/2024(H1N1)) segment 5 nucleocapsid protein (NP) gene, complete cds",1540,partial,USA: Texas,USA,TX,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,,2024-07-23,2024-11-15,ssRNA(-),07.2024
PQ599505.1,GenBank,GCA_046430925.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19448225,6,"Influenza A virus (A/Texas/221/2024(H1N1)) segment 6 neuraminidase (NA) gene, complete cds",1433,partial,USA: Texas,USA,TX,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,,2024-07-23,2024-11-15,ssRNA(-),07.2024
PQ599506.1,GenBank,GCA_046430925.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19448225,7,"Influenza A virus (A/Texas/221/2024(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1002,partial,USA: Texas,USA,TX,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,,2024-07-23,2024-11-15,ssRNA(-),07.2024
PQ599507.1,GenBank,GCA_046430925.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19448225,8,"Influenza A virus (A/Texas/221/2024(H1N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds",865,partial,USA: Texas,USA,TX,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,,2024-07-23,2024-11-15,ssRNA(-),07.2024
PQ599508.1,GenBank,GCA_046433015.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19495679,1,"Influenza A virus (A/Texas/226/2024(H1N1)) segment 1 polymerase PB2 (PB2) gene, complete cds",2316,partial,USA: Texas,USA,TX,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,,2024-09-05,2024-11-15,ssRNA(-),09.2024
PQ599509.1,GenBank,GCA_046433015.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19495679,2,"Influenza A virus (A/Texas/226/2024(H1N1)) segment 2 polymerase PB1 (PB1) gene, complete cds; and nonfunctional PB1-F2 protein (PB1-F2) gene, complete sequence",2316,partial,USA: Texas,USA,TX,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,,2024-09-05,2024-11-15,ssRNA(-),09.2024
PQ599510.1,GenBank,GCA_046433015.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19495679,3,"Influenza A virus (A/Texas/226/2024(H1N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",2208,partial,USA: Texas,USA,TX,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,,2024-09-05,2024-11-15,ssRNA(-),09.2024
PQ599511.1,GenBank,GCA_046433015.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19495679,4,"Influenza A virus (A/Texas/226/2024(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds",1752,partial,USA: Texas,USA,TX,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,,2024-09-05,2024-11-15,ssRNA(-),09.2024
PQ599512.1,GenBank,GCA_046433015.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19495679,5,"Influenza A virus (A/Texas/226/2024(H1N1)) segment 5 nucleocapsid protein (NP) gene, complete cds",1540,partial,USA: Texas,USA,TX,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,,2024-09-05,2024-11-15,ssRNA(-),09.2024
PQ599513.1,GenBank,GCA_046433015.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19495679,6,"Influenza A virus (A/Texas/226/2024(H1N1)) segment 6 neuraminidase (NA) gene, complete cds",1433,partial,USA: Texas,USA,TX,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,,2024-09-05,2024-11-15,ssRNA(-),09.2024
PQ599514.1,GenBank,GCA_046433015.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19495679,7,"Influenza A virus (A/Texas/226/2024(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1002,partial,USA: Texas,USA,TX,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,,2024-09-05,2024-11-15,ssRNA(-),09.2024
PQ599515.1,GenBank,GCA_046433015.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19495679,8,"Influenza A virus (A/Texas/226/2024(H1N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds",865,partial,USA: Texas,USA,TX,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,,2024-09-05,2024-11-15,ssRNA(-),09.2024
PQ599516.1,GenBank,GCA_046433645.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19495622,1,"Influenza A virus (A/Texas/227/2024(H1N1)) segment 1 polymerase PB2 (PB2) gene, complete cds",2316,partial,USA: Texas,USA,TX,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,,2024-09-05,2024-11-15,ssRNA(-),09.2024
PQ599517.1,GenBank,GCA_046433645.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19495622,2,"Influenza A virus (A/Texas/227/2024(H1N1)) segment 2 polymerase PB1 (PB1) gene, complete cds; and nonfunctional PB1-F2 protein (PB1-F2) gene, complete sequence",2316,partial,USA: Texas,USA,TX,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,,2024-09-05,2024-11-15,ssRNA(-),09.2024
PQ599518.1,GenBank,GCA_046433645.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19495622,3,"Influenza A virus (A/Texas/227/2024(H1N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",2208,partial,USA: Texas,USA,TX,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,,2024-09-05,2024-11-15,ssRNA(-),09.2024
PQ599519.1,GenBank,GCA_046433645.1,,,PRJNA998879,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,EPI_ISL_19495622,4,"Influenza A virus (A/Texas/227/2024(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds",1752,partial,USA: Texas,USA,TX,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,,2024-09-05,2024-11-15,ssRNA(-),09.2024
